MOVSINPYR2,ALCTRY,IRSEX
3,22,2
0,20,1
1,20,2
0,15,1
0,17,1
1,18,1
0,19,2
0,16,2
0,17,1
2,18,2
0,15,1
0,16,2
0,12,2
0,15,2
2,16,1
0,16,1
1,19,1
0,21,2
0,14,2
0,13,2
1,16,1
0,18,1
0,21,2
0,18,2
0,17,2
0,16,2
0,23,1
0,18,2
1,13,1
0,19,2
0,19,2
0,14,1
0,16,2
0,30,1
0,18,2
0,16,1
0,16,2
0,18,1
0,21,2
0,17,2
0,16,1
0,18,2
0,21,2
0,17,2
0,14,1
0,16,1
0,17,2
0,17,1
1,16,1
0,15,2
0,21,1
3,15,1
0,21,2
0,12,1
0,21,1
1,15,2
0,13,1
1,13,2
0,15,1
0,14,1
0,18,1
0,13,1
0,20,2
0,20,1
0,5,1
2,18,2
0,12,2
0,17,1
0,18,2
1,17,2
0,13,1
0,21,1
0,16,2
0,19,1
0,14,2
0,21,2
1,13,1
1,12,1
1,16,1
0,15,1
0,16,2
1,15,2
1,13,1
1,17,2
0,15,2
0,16,1
0,21,2
0,21,2
1,20,1
0,13,1
1,8,1
2,19,2
0,7,1
0,15,1
0,17,1
0,21,2
0,21,1
0,19,1
0,17,2
1,20,2
